LocationID,ACCESS2,ARTHRITIS,BPHIGH,BPMED,CANCER,CASTHMA,CHD,CHECKUP,CHOLSCREEN,COLON_SCREEN,COPD,DENTAL,DEPRESSION,DIABETES,HIGHCHOL,LACKTRPT,MAMMOUSE,OBESITY,STROKE,TEETHLOST
11001000101,3.1,15.6,21.3,70.1,7.8,8.7,3.0,74.9,91.9,74.4,2.4,80.9,22.0,4.6,33.2,3.2,79.0,17.7,1.7,4.3
11001000102,3.3,20.0,26.1,75.4,10.2,8.7,4.1,77.8,93.0,76.2,3.2,81.3,21.3,5.9,38.0,3.2,75.3,18.2,2.2,2.5
11001000201,12.1,6.0,15.6,22.3,0.9,13.6,1.7,66.0,58.9,63.9,5.3,48.1,37.1,2.7,17.0,32.1,63.2,24.3,1.2,29.0
11001000202,4.1,14.7,20.3,68.5,6.5,9.5,3.2,73.1,87.1,74.4,3.2,77.1,24.4,4.8,30.2,5.2,74.5,17.3,1.8,5.5
11001000300,4.0,13.4,18.7,65.3,6.0,9.2,2.5,72.7,89.3,69.9,2.5,77.1,23.8,4.1,29.7,4.3,76.0,17.8,1.5,7.8
11001000400,4.8,21.3,28.7,76.1,9.7,9.0,4.9,77.6,91.7,75.8,4.3,80.0,21.3,7.5,39.2,4.6,76.9,20.0,2.7,3.1
11001000501,3.8,13.5,19.4,66.0,6.1,9.1,2.6,73.1,90.2,74.2,2.4,79.2,23.7,4.3,30.0,4.2,78.0,18.5,1.5,4.0
11001000502,3.7,17.7,23.8,72.5,8.5,9.0,3.5,76.1,92.1,76.1,3.0,77.5,22.4,5.5,35.4,3.7,78.8,18.6,2.0,2.6
11001000600,3.6,19.6,25.6,74.7,9.6,9.1,3.9,77.7,92.8,74.3,3.3,78.7,21.6,5.9,37.4,3.6,78.6,18.4,2.2,3.8
11001000702,4.7,13.0,19.3,63.0,5.2,9.3,2.5,72.1,88.8,72.3,2.6,78.1,23.8,4.5,29.1,5.3,77.3,19.7,1.5,3.4
11001000703,3.7,26.0,32.5,81.8,14.1,8.5,5.7,82.5,94.9,79.4,3.9,83.6,18.3,7.4,42.9,3.0,80.1,17.3,3.0,4.9
11001000704,3.9,16.4,22.5,71.4,7.3,9.2,3.1,75.8,91.4,73.0,2.7,77.9,22.2,5.5,33.5,4.2,77.1,18.8,1.9,4.3
11001000802,4.3,17.2,23.9,71.4,7.6,9.1,3.5,75.5,91.1,70.5,3.3,77.7,21.8,5.8,34.9,4.5,77.5,19.1,2.0,4.0
11001000803,3.7,19.2,25.0,76.0,8.9,9.5,4.2,77.1,89.6,73.9,3.6,77.5,22.9,6.3,34.7,4.8,77.7,17.6,2.4,5.5
11001000804,3.2,18.1,24.0,74.3,8.8,9.1,3.7,77.1,91.2,74.1,3.1,78.8,21.6,5.6,35.4,3.8,76.7,17.2,2.1,4.1
11001000902,3.2,20.9,26.9,75.5,10.3,9.0,4.1,78.7,93.6,74.4,3.5,82.1,21.0,6.2,39.1,3.3,77.5,18.7,2.3,4.6
11001000903,5.0,7.6,12.0,51.7,2.9,10.2,1.6,69.2,80.9,71.1,2.0,72.2,26.5,2.5,20.2,7.6,74.0,14.4,1.0,8.3
11001000904,2.6,24.1,31.0,79.7,12.8,8.6,5.2,81.6,94.8,75.8,3.6,82.3,19.3,7.0,42.3,2.8,77.0,18.1,2.7,3.2
11001001002,3.6,14.6,20.5,67.3,6.2,9.4,2.7,74.2,89.7,70.1,2.7,76.2,23.5,4.7,30.6,4.7,76.7,18.8,1.7,3.6
11001001003,3.1,21.7,28.1,76.1,10.6,9.0,4.4,79.1,93.7,73.9,3.7,82.6,21.2,6.6,40.0,3.4,78.1,19.4,2.4,5.0
11001001004,3.7,20.1,26.6,75.0,9.1,9.3,4.3,77.5,91.6,72.8,3.8,78.2,22.2,6.6,36.9,4.3,77.1,19.2,2.4,5.8
11001001100,3.3,22.0,28.8,77.7,10.4,9.1,4.6,79.5,93.3,73.0,3.7,79.8,20.8,7.0,39.4,3.7,77.9,18.8,2.6,3.9
11001001200,3.5,17.7,24.0,72.4,8.2,9.1,3.5,76.5,91.8,74.0,3.0,80.6,22.0,5.6,35.0,4.0,77.6,19.0,2.0,3.0
11001001301,3.8,18.8,26.2,74.3,8.6,9.2,4.0,77.4,92.0,73.3,3.3,78.5,21.1,6.4,35.9,4.4,78.3,19.5,2.3,3.2
11001001303,4.4,18.1,24.9,72.7,8.1,9.3,3.8,75.8,90.8,74.5,3.4,75.4,22.4,6.0,34.4,4.8,77.3,19.6,2.2,5.0
11001001304,3.5,14.6,19.7,67.8,7.0,9.0,2.6,74.1,91.5,76.1,2.3,81.1,23.1,4.2,31.3,3.6,78.3,18.0,1.5,2.9
11001001401,3.0,19.4,25.9,74.6,9.5,8.9,3.8,78.3,93.5,74.7,3.0,82.2,20.7,6.0,37.7,3.4,78.7,18.6,2.1,2.4
11001001402,3.3,22.2,30.0,78.9,11.0,8.6,4.7,80.2,94.1,74.9,3.4,80.9,19.0,7.0,39.7,3.3,79.8,18.4,2.7,3.4
11001001500,3.8,23.6,30.7,78.7,11.7,9.0,4.9,80.6,94.3,69.7,4.1,82.7,19.7,7.2,41.4,3.4,75.2,18.8,2.9,2.8
11001001600,4.0,23.7,37.3,81.3,8.7,9.9,5.0,82.9,94.7,76.5,3.8,78.7,16.9,9.9,39.8,5.1,80.3,23.3,3.6,4.2
11001001702,5.1,17.7,28.1,74.0,6.3,9.9,3.4,77.6,92.3,73.7,3.1,73.5,20.0,7.1,33.8,5.6,80.3,22.6,2.5,10.9
11001001803,14.6,21.5,37.4,74.5,4.7,11.2,5.4,76.5,88.0,64.8,6.5,61.1,20.3,13.2,36.1,14.9,76.5,33.3,4.5,18.4
11001001804,12.3,21.8,37.0,75.9,5.2,11.0,5.4,77.8,89.2,62.7,6.0,57.9,19.8,12.7,36.3,13.0,76.1,31.5,4.4,16.3
11001001901,7.4,20.8,34.1,76.6,5.9,10.6,4.5,78.5,91.4,69.3,4.4,65.1,19.5,10.2,35.7,8.5,78.0,27.1,3.6,12.9
11001001902,5.7,21.8,36.3,78.6,6.5,10.4,4.6,80.6,92.8,72.9,4.2,69.6,18.2,10.5,37.1,7.2,79.5,26.5,3.7,10.5
11001002001,17.6,23.6,37.5,75.6,6.0,11.1,6.9,75.5,87.0,61.1,8.4,54.7,21.5,14.0,39.4,15.0,70.6,30.7,5.1,25.2
11001002002,6.5,18.7,30.9,75.3,6.0,9.7,3.9,77.8,91.9,72.9,3.5,73.7,18.9,8.6,34.9,6.6,80.2,24.8,2.9,6.2
11001002101,9.0,16.9,29.3,71.8,4.8,10.0,3.6,76.0,90.3,69.6,3.6,67.1,19.4,8.6,33.2,8.5,74.6,26.4,2.8,10.6
11001002102,7.0,18.5,31.4,74.5,5.4,10.4,3.8,77.8,91.4,70.4,3.6,64.0,19.1,8.8,33.7,7.8,75.4,26.1,3.1,14.1
11001002201,7.5,17.7,30.0,73.9,5.4,10.0,3.7,76.6,90.8,70.5,3.6,66.8,19.1,8.3,33.8,7.3,81.7,24.5,2.9,13.8
11001002202,9.8,17.0,29.8,71.5,4.6,10.2,3.6,75.4,89.3,68.8,3.9,65.2,19.7,8.8,32.8,9.4,76.1,27.1,3.0,10.6
11001002301,6.4,17.3,29.2,72.8,5.2,10.0,3.5,76.2,90.5,71.9,3.5,70.2,20.3,8.1,32.9,7.3,78.0,25.0,2.8,16.3
11001002302,6.7,26.4,41.2,82.4,12.2,9.1,9.4,82.5,93.0,74.3,5.6,70.9,16.1,10.7,41.1,6.7,79.6,21.7,5.1,6.4
11001002400,7.8,15.1,25.8,69.2,4.5,10.1,3.1,73.5,88.7,69.8,3.4,69.3,21.7,7.0,31.0,7.7,79.6,24.2,2.4,9.5
11001002501,6.1,17.8,29.3,74.6,6.0,9.5,3.6,77.3,92.0,73.1,3.1,74.4,19.0,8.0,34.6,5.9,79.9,23.7,2.7,5.2
11001002503,6.4,12.1,21.3,64.6,4.0,9.4,2.3,72.4,89.2,71.1,2.3,73.7,21.2,5.2,28.2,6.2,80.3,21.9,1.7,5.4
11001002504,9.6,14.0,23.9,66.8,4.4,9.3,3.0,72.6,88.4,66.8,3.2,69.0,21.1,6.9,31.2,7.8,77.3,23.8,2.2,8.8
11001002600,4.8,20.2,31.3,77.2,7.8,9.3,4.2,79.2,93.3,73.6,3.5,76.2,18.4,8.3,37.9,4.9,79.2,22.0,2.9,4.6
11001002702,6.8,13.7,21.1,66.4,5.3,9.0,2.8,72.4,89.7,69.4,2.8,74.9,22.1,5.4,31.2,5.4,77.8,20.5,1.8,7.7
11001002703,5.5,13.0,20.3,66.3,5.4,8.7,2.6,72.7,90.4,65.9,2.2,74.4,21.3,5.0,30.4,4.6,78.8,19.2,1.6,6.2
11001002704,7.5,13.1,21.3,65.3,4.7,9.0,2.7,72.0,89.0,66.0,2.7,70.5,21.2,5.7,30.5,6.2,77.4,21.5,1.8,7.0
11001002801,9.7,13.4,23.9,66.0,3.8,9.8,3.0,71.9,87.1,67.8,3.3,67.3,21.9,6.9,29.9,8.8,76.9,24.3,2.2,15.9
11001002802,12.7,15.3,26.5,66.8,4.1,10.0,4.0,71.6,85.1,61.8,4.6,61.5,23.1,8.7,32.1,11.7,72.2,26.6,2.8,13.9
11001002900,8.6,12.6,21.9,63.2,3.8,9.5,2.7,70.8,86.7,65.5,3.1,70.3,23.2,6.1,29.0,8.0,78.2,23.6,1.9,8.6
11001003000,8.8,14.1,24.3,64.5,3.9,10.5,3.1,71.4,85.1,66.3,4.0,65.3,24.2,6.7,28.9,10.1,74.2,25.1,2.4,12.1
11001003100,5.9,10.2,17.8,60.4,3.6,9.0,1.8,70.9,89.0,70.5,1.8,73.2,21.6,4.1,26.3,5.3,79.6,19.9,1.3,6.8
11001003200,10.7,15.2,25.9,67.3,4.2,10.4,3.4,72.1,86.0,66.5,4.2,66.6,22.7,7.6,30.7,10.2,76.0,25.1,2.7,14.3
11001003301,3.9,12.0,20.8,64.9,4.3,9.3,2.1,73.0,90.3,69.3,2.0,74.8,21.6,4.7,28.1,4.8,82.5,20.8,1.6,3.3
11001003302,4.5,11.4,19.8,62.3,3.9,9.5,2.0,71.8,89.2,70.0,2.1,74.5,22.6,4.4,27.1,5.3,81.0,21.0,1.5,4.4
11001003400,6.5,8.9,16.8,54.4,2.3,11.5,1.8,70.7,81.4,68.4,2.6,69.2,26.6,4.0,21.5,11.0,78.9,20.3,1.5,11.1
11001003500,5.5,8.5,16.0,55.8,2.6,10.3,1.6,70.4,84.9,67.6,2.0,74.3,24.3,3.6,22.3,7.5,79.4,19.0,1.3,10.9
11001003600,5.7,12.5,21.6,66.4,4.2,9.5,2.5,72.2,88.6,71.9,2.5,71.4,22.5,5.4,28.4,6.0,79.4,21.4,1.8,6.8
11001003701,6.2,10.6,17.9,59.7,3.7,9.2,1.9,70.3,88.4,67.0,2.1,71.7,23.0,4.3,26.9,5.7,78.8,20.5,1.4,5.9
11001003702,8.7,14.1,25.3,64.2,3.7,10.4,3.1,72.4,85.7,59.5,3.9,60.7,23.9,7.2,29.1,10.8,72.6,27.2,2.4,18.4
11001003801,3.2,10.6,16.8,61.6,4.8,8.7,1.8,71.9,91.0,72.6,1.6,80.4,22.5,3.5,27.6,3.4,80.9,18.0,1.1,2.7
11001003802,5.3,12.3,20.4,64.9,4.5,9.0,2.4,72.0,89.3,70.9,2.4,74.9,22.5,5.1,29.3,5.3,79.5,20.7,1.6,4.6
11001003901,3.8,10.1,16.4,60.7,4.2,8.9,1.8,71.1,90.0,74.7,1.6,80.0,23.4,3.6,26.5,4.0,81.2,18.2,1.2,2.5
11001003902,4.5,14.1,20.4,66.1,6.1,9.1,2.6,72.9,90.5,71.5,2.6,78.9,23.3,4.6,31.0,4.3,79.7,19.6,1.6,3.9
11001004001,3.4,13.8,19.4,66.5,6.6,8.9,2.6,73.2,91.0,74.9,2.2,81.0,23.5,4.1,30.6,3.6,79.2,18.3,1.5,2.7
11001004002,3.4,11.5,17.4,62.3,5.3,8.8,2.1,71.6,90.2,71.9,1.9,75.9,23.3,3.6,28.4,3.6,79.5,17.9,1.3,2.8
11001004100,3.6,18.8,25.9,74.4,9.0,8.7,4.1,76.7,91.8,75.6,3.3,78.0,21.6,6.3,36.9,3.8,77.8,18.8,2.2,3.2
11001004201,4.2,10.0,15.9,57.6,4.2,9.0,1.9,69.7,88.4,71.2,2.0,78.4,24.6,3.3,26.2,4.4,77.1,18.1,1.1,3.2
11001004202,3.9,11.4,17.5,61.0,5.0,9.0,2.3,71.0,88.7,74.0,2.2,76.4,24.6,3.8,27.6,4.5,77.0,18.6,1.3,5.1
11001004300,4.0,11.8,19.0,64.8,4.7,9.0,2.2,71.9,89.9,73.5,2.0,76.7,22.7,4.2,27.9,4.3,79.7,19.0,1.5,4.4
11001004401,3.4,9.4,15.8,57.0,3.9,8.5,1.6,70.4,90.0,69.1,1.5,80.4,22.4,3.2,26.4,3.7,80.3,17.9,1.0,2.7
11001004402,4.6,10.6,18.2,59.6,4.0,9.1,2.0,70.4,88.5,69.2,2.1,74.1,23.3,4.0,26.8,5.1,79.1,20.0,1.3,7.2
11001004600,5.6,13.4,23.6,67.4,4.2,9.7,2.6,73.1,88.8,73.4,2.7,70.4,21.5,5.8,29.0,6.4,81.3,22.3,2.0,7.7
11001004702,4.5,8.6,15.2,54.3,3.1,9.2,1.5,69.3,87.8,70.7,1.7,74.8,23.8,3.1,24.1,5.0,79.2,18.8,1.1,5.9
11001004703,8.9,13.8,23.9,62.8,3.6,10.6,3.3,70.5,83.3,67.3,4.5,62.9,26.3,7.0,29.0,11.4,77.4,25.1,2.4,14.4
11001004704,19.5,28.1,49.2,73.9,4.1,15.3,9.5,77.3,78.5,59.0,17.0,41.4,26.6,21.6,37.7,37.7,68.2,45.1,8.9,28.1
11001004801,5.5,13.3,23.3,67.1,4.5,9.3,2.9,71.9,88.1,73.4,2.9,71.4,22.4,5.9,29.5,6.1,76.9,21.7,2.1,7.6
11001004802,5.4,14.5,24.6,70.2,4.6,9.7,2.7,74.4,89.9,69.2,2.8,66.9,20.7,6.4,30.7,6.1,78.3,21.9,2.2,6.8
11001004901,6.5,13.6,23.1,64.6,4.2,10.0,2.8,71.5,86.9,71.1,3.3,71.5,24.0,5.9,28.9,7.7,75.4,23.8,2.1,6.7
11001004902,4.5,10.5,18.1,59.4,3.7,9.2,1.8,71.4,89.3,66.6,1.9,75.8,22.9,4.1,26.8,5.2,79.8,20.8,1.3,3.4
11001005001,3.3,10.6,17.1,61.2,4.7,8.6,1.9,71.0,90.3,70.5,1.7,79.9,22.4,3.5,27.7,3.5,79.8,17.9,1.2,4.3
11001005003,4.9,12.0,19.2,62.2,4.1,9.8,2.1,71.5,88.3,70.7,2.5,76.4,24.2,4.5,27.8,5.8,78.2,20.9,1.5,6.4
11001005004,10.2,14.9,25.3,67.8,4.4,9.7,3.7,71.3,86.0,66.6,4.2,63.3,23.1,7.7,31.7,9.2,75.0,24.3,2.6,14.4
11001005202,3.7,12.6,20.0,64.6,5.5,8.5,2.4,72.4,90.7,71.3,2.2,78.2,22.0,4.4,30.4,3.9,78.9,19.2,1.5,5.4
11001005203,4.6,10.0,17.0,59.5,3.9,8.8,2.0,70.1,88.3,69.6,2.0,76.2,23.4,3.8,26.5,4.8,76.8,18.7,1.3,5.0
11001005302,3.4,11.2,17.3,61.6,5.2,8.6,2.2,71.3,90.1,73.0,1.9,79.8,23.1,3.6,28.4,3.6,78.2,17.9,1.2,4.8
11001005303,3.6,11.8,19.0,63.9,5.1,8.7,2.3,72.3,89.9,72.4,2.1,75.6,22.5,4.2,29.0,4.2,77.1,18.8,1.4,3.2
11001005501,3.7,12.2,17.9,64.6,5.5,8.8,2.4,72.3,89.3,73.8,2.2,80.5,22.9,4.0,29.0,4.1,78.5,17.0,1.4,4.3
11001005502,4.1,13.7,20.9,68.1,5.9,8.9,3.0,72.8,89.5,76.3,2.5,77.1,22.9,4.8,30.2,4.4,78.3,18.7,1.8,4.3
11001005503,4.6,15.6,22.5,67.8,6.2,9.5,3.5,73.1,87.3,67.8,3.7,68.8,25.0,5.8,32.0,6.1,71.6,20.1,2.0,8.8
11001005601,4.8,9.6,15.8,57.1,3.7,9.1,2.1,69.8,84.3,70.9,2.3,70.5,24.5,3.6,24.9,6.3,74.7,17.0,1.3,6.6
11001005602,4.3,16.6,23.4,73.9,7.6,8.9,4.1,74.9,87.8,77.3,3.3,76.7,21.7,5.9,32.4,5.2,74.6,16.4,2.3,7.5
11001005801,5.2,15.7,24.2,70.2,5.8,8.7,3.5,74.1,89.4,68.1,3.5,69.3,21.7,6.9,34.8,5.6,71.9,19.1,2.2,9.3
11001005802,3.6,14.7,22.5,67.5,6.0,9.0,2.8,74.3,91.2,69.1,2.6,77.6,22.0,5.3,32.1,4.5,77.4,20.6,1.8,3.4
11001005900,4.7,9.8,17.0,60.9,3.5,9.5,2.0,70.4,86.2,74.4,2.1,75.8,24.5,3.9,24.9,5.8,78.2,18.2,1.3,11.4
11001006400,9.4,21.0,35.7,72.9,4.6,12.4,4.9,76.5,86.2,65.5,6.9,50.6,23.8,11.7,33.8,15.2,76.2,32.3,4.3,18.8
11001006500,3.8,16.4,23.1,69.3,7.2,9.3,3.4,74.1,90.1,71.3,3.2,74.7,24.2,5.4,33.0,4.6,74.2,20.2,1.9,7.3
11001006600,3.2,16.4,22.1,70.6,8.1,9.1,3.2,75.2,91.8,73.0,2.7,81.3,23.2,4.8,33.2,3.5,78.0,18.4,1.8,4.1
11001006700,2.9,16.0,22.0,70.4,7.8,9.0,2.9,75.5,92.5,74.4,2.4,81.9,22.3,4.7,33.4,3.2,78.7,18.3,1.7,2.8
11001006801,4.8,15.5,25.5,68.9,5.0,10.1,2.9,74.5,90.0,70.5,3.2,66.9,22.9,6.4,31.0,6.5,78.3,24.0,2.2,11.3
11001006802,4.0,15.4,24.2,69.2,5.6,9.8,2.8,75.0,91.3,70.9,2.8,76.5,22.6,5.8,31.3,5.2,79.3,22.2,2.0,8.5
11001006804,23.3,16.3,41.9,59.2,2.2,11.2,5.8,68.9,71.3,40.1,10.5,26.3,21.7,13.9,30.6,34.2,58.7,42.8,5.0,51.3
11001006900,2.9,14.8,22.4,69.1,6.1,9.2,2.5,75.2,92.4,71.0,2.2,78.9,21.9,5.0,31.7,3.7,79.7,20.1,1.7,4.4
11001007000,4.5,14.4,20.7,66.8,6.3,9.2,2.8,72.7,89.4,71.7,2.8,79.7,22.9,4.6,30.7,4.6,77.4,19.0,1.7,3.7
