LocationID,StateAbbr,CountyName,TotalPopulation,chronic_disease_burden_score,chronic_disease_burden_rank,ARTHRITIS_pct,BPHIGH_pct,CANCER_pct,CASTHMA_pct,CHD_pct,COPD_pct,DEPRESSION_pct,DIABETES_pct,HIGHCHOL_pct,OBESITY_pct,STROKE_pct
24031703219,MD,Montgomery,3363,3.0293732403864424,1,47.4,58.3,21.1,8.8,14.8,10.3,13.1,19.0,58.9,22.1,7.5
11001004704,DC,District of Columbia,1945,2.917046742149456,2,28.1,49.2,4.1,15.3,9.5,17.0,26.6,21.6,37.7,45.1,8.9
51059431601,VA,Fairfax,1908,2.899835820142565,3,51.3,56.5,25.6,7.6,16.3,8.9,11.3,17.4,54.7,16.1,7.3
24031703218,MD,Montgomery,1963,2.697609643698016,4,46.4,56.6,21.7,8.5,13.7,9.0,12.6,17.4,58.5,20.7,6.8
24031703216,MD,Montgomery,3889,2.685176642208292,5,40.6,54.0,14.6,10.0,13.0,10.8,15.9,20.6,53.6,30.0,7.0
51107611010,VA,Loudoun,1951,2.6083024611745596,6,48.4,55.5,21.2,8.7,13.0,8.8,14.7,17.3,53.9,25.4,6.0
11001007401,DC,District of Columbia,1259,1.9694496363585154,7,26.1,46.4,4.3,14.5,7.6,11.8,23.9,18.3,36.8,41.4,7.0
54037972401,WV,Jefferson,2718,1.9184490332794228,8,34.4,43.6,7.5,12.9,7.9,10.1,28.9,16.3,40.4,42.9,4.2
51153901504,VA,Prince William,4713,1.8868835331448208,9,41.0,49.0,18.4,8.7,10.6,7.3,16.6,14.9,51.0,26.6,4.8
54037972300,WV,Jefferson,4569,1.8438557950771048,10,36.0,42.9,9.0,12.6,7.7,9.4,29.2,14.8,41.9,40.1,3.8
11001007403,DC,District of Columbia,2613,1.8438309405434423,11,24.4,44.5,3.7,15.4,6.7,11.9,25.7,16.8,34.2,42.7,6.6
54037972505,WV,Jefferson,2705,1.7693330686186706,12,36.0,44.5,9.2,12.2,7.8,8.5,27.1,15.6,41.7,40.4,3.9
24033801907,MD,Prince George's,3605,1.7568836227409668,13,32.8,50.3,6.6,13.0,7.7,8.3,14.7,20.8,39.8,47.4,6.0
51157950200,VA,Rappahannock,4619,1.7508745379390434,14,35.6,42.7,11.6,10.6,9.1,9.1,23.3,15.2,44.4,36.0,4.4
51177020311,VA,Spotsylvania,5571,1.707275435207307,15,30.9,41.9,7.8,11.9,7.9,9.8,25.7,16.3,39.9,45.2,4.5
11001007408,DC,District of Columbia,2867,1.6988616163536046,16,23.9,44.4,3.6,14.9,6.5,11.3,25.3,16.7,33.7,43.0,6.3
11001009602,DC,District of Columbia,4481,1.696041549779312,17,24.7,44.0,4.0,14.8,6.5,11.2,24.7,16.6,34.8,41.0,6.4
54037972701,WV,Jefferson,2770,1.6894591493584252,18,34.7,41.6,8.4,12.5,7.2,9.2,29.7,14.1,41.2,40.5,3.5
54037972203,WV,Jefferson,2488,1.6680305411270275,19,36.5,43.4,10.4,11.7,7.8,8.1,26.9,14.4,42.9,37.3,3.6
11001009801,DC,District of Columbia,1848,1.658764223701207,20,26.5,45.1,4.9,14.1,7.0,10.3,22.1,16.7,37.3,37.6,6.6
54037972204,WV,Jefferson,2438,1.6375112891315198,21,35.9,41.9,9.9,12.2,7.4,8.1,28.7,13.7,41.7,37.9,3.5
54037972402,WV,Jefferson,4461,1.6209815669968441,22,33.3,41.2,7.7,12.9,6.9,8.8,29.9,14.4,39.4,41.4,3.6
51047930202,VA,Culpeper,6283,1.5626736651944197,23,32.5,41.1,9.4,11.3,8.0,9.1,24.1,14.5,42.2,39.9,4.2
54037972702,WV,Jefferson,4243,1.5610598001522613,24,34.2,40.9,8.5,12.3,6.9,8.5,29.8,13.7,40.7,40.1,3.3
54037972601,WV,Jefferson,1950,1.5477587557247927,25,35.4,41.7,9.9,12.0,7.3,7.8,27.9,13.5,41.9,37.4,3.4
11001007804,DC,District of Columbia,3499,1.509345862440149,26,26.3,45.2,5.3,13.3,7.2,9.3,21.2,16.5,37.4,36.6,6.4
24033803001,MD,Prince George's,3119,1.49605513222267,27,28.6,47.5,4.9,12.9,7.1,8.4,15.5,20.4,37.3,50.4,5.5
51177020405,VA,Spotsylvania,3677,1.489568522835517,28,32.1,41.5,10.0,11.0,7.9,8.3,24.0,14.5,41.8,40.6,4.0
54037972800,WV,Jefferson,6064,1.4855586231192675,29,34.7,41.4,9.2,12.0,7.0,7.8,28.0,13.6,41.6,38.1,3.3
51157950100,VA,Rappahannock,2729,1.4564760896108184,30,33.6,40.0,11.0,10.7,8.1,8.5,23.7,13.6,42.8,35.2,4.0
